September 11 1847
August 7 1876
March 21 1927
15 July 1943
29 November 1866
9 July 1845
19 March 1799
November 9 1819
October 29 1959
30 April 1777
December 8 1795
January 2 1920
August 21 1815
26 September 1784
23 March 1749
26 March 1803
August 15 1887
January 2 1900
23 March 1829
October 25 1877
May 31 1912
November 11 1875
2 January 1729
20 May 1929
March 8 1902
29 April 1946
4 June 1754
May 31 1872
December 7 903
June 11 1844
30 November 1647
July 16 1878
7 August 1870
17 June 1906
August 9 1911
6 March 1787
January 5 1865
15 April 1919
August 19 1891
25 January 1736
13 March 1781
12 April 1851
January 4 1866
January 3 1906
November 12 1891
November 17 1865
December 31 1864
3 December 1924
14 March 1835
March 17 1837
January 21 1880
November 23 1927
1 November 1880
November 5 1906
December 16 1857
21 September 1913
9 June 1812
September 27 1824
8 January 1919
25 February 1670
July 4 1868
January 14 1806
July 28 1867
April 28 1928
October 2 1886
23 May 1888
December 31 1973
July 9 1911
20 January 1939
4 January 1908
December 15 1834
February 20 1902
November 1 1898
June 24 1870
29 May 1885
December 16 1832
July 5 1888
26 August 1728
August 22 1834
27 July 1759
February 15 1858
25 October 1789
May 17 1873
16 May 1875
26 December 1780
August 27 1770
March 1 1943
24 December 1838
May 7 1819
22 July 1784
December 12 1838
April 11 1862
16 December 1826
December 3 1904
October 21 1942
June 6 1939
October 30 1868
May 10 1900
July 19 1846
April 19 1892
August 27 1956
September 24 1898
February 9 1929
January 31 1794
8 June 1625
25 November 1848
15 March 1713
29 January 1880
March 24 1886
17 March 1836
13 June 1580
December 7 1883
March 19 1782
19 October 1910
June 13 1935
24 July 1853
13 May 1846
17 April 1598
12 October 1801
30 June 1748
10 November 1861
July 1 1916
8 March 1914
22 March 1799
6 October 1931
24 August 2002
February 18 1920
21 October 1921
12 February 1893
December 22 1885
November 1 1858
27 January 1941
24 April 1906
19 September 1749
22 November 1986
December 31 1900
31 May 1877
June 23 1901
6 November 1781
September 3 1780
26 May 1826
December 19 1845
February 15 1935
December 4 1821
22 May 1946
June 16 1891
19 November 1918
June 24 1929
12 August 1996
March 25 1870
February 5 1835
29 March 1827
September 19 1813
6 February 1865
July 13 1924
