NameString
Biruni
Gan De
Fulvio Melia
John Michell
Hiroshi Mori
Jean Mueller
Masaru Mukai
David Naylor
Isaac Newton
Peter Nilson
Okuro Oikawa
Liisi Oterma
Satoru Otomo
Arno Penzias
Paris Pi_mi_
Tsutomu Seki
George Smoot
Otto Wilhelm
Akihiko Tago
John Tebbutt
Yasuo Tanaka
Yrjö Väisälä
Dennis Walsh
Judith Young
Zhang Daqing
Felix Ziegel
Fritz Zwicky
Marc Aaronson
Makio Akiyama
George Alcock
Hannes Alfvén
Hiroshi Araki
Sylvain Arend
Arthur Auwers
Adrien Auzout
Francis Baily
James Bradley
Luigi Carnera
James Challis
Carl Charlier
James Christy
Janine Connes
Thomas Digges
Olin J. Eggen
Debra Fischer
Alfred Fowler
Ben Gascoigne
Andrew Graham
Charles Green
Jay U. Gunter
Edmond Halley
Thomas Hariot
Eleanor Helin
Prosper Henry
John Herschel
Antony Hewish
Shin Hirayama
Kamil Hornoch
Shigeru Inoda
Edward Israel
Jiao Bingzhen
Tetsuo Kagawa
Henry Kandrup
Minoru Kizawa
Viktor Knorre
Gerard Kuiper
Reiki Kushida
David J. Lane
Geraint Lewis
Chris Lintott
Maurice Loewy
Knut Lundmark
Robert Luther
Willem Luyten
Andrew Lyne -
Mahendra Suri
Charles Mason
Cornell Mayer
David Merritt
Patrick Moore
Antonín Mrkos
Nils Mustelin
Simon Newcomb
Johann Palisa
Eugene Parker
James Peebles
Roger Penrose
Carolyn Porco
Georg Purbach
Hubert Reeves
Regiomontanus
Karl Reinmuth
Arjen Roelofs
Megh Nad Saha
Angelo Secchi
Shinzo Shinjo
Lyman Spitzer
Joel Stebbins
Matsuo Sugano
Atsushi Sugie
Shohei Suzuki
Louis Thollon
Chad Trujillo
Takeshi Urata
Benjamin Valz
William Wales
Edmund Weaver
Robert Wilson
John Winthrop
Carl Wirtanen
Thomas Wright
John Zarnecki
Antonio Abetti
Giorgio Abetti
"Robert Aitken,"
Masakatsu Aoki
Petrus Apianus
François Arago
Oskar Backlund
Yoshiaki Banno
Jules Baillaud
Beatriz Barbuy
Antonín Be_vá_
Adriaan Blaauw
Alexis Bouvard
Brian J. Boyle
Schelte J. Bus
Anders Celsius
Jean Chacornac
Pablo Cottenot
Heather Couper
Herbert Dingle
Petar _urkovi_
Fearon Fallows
James Ferguson
John Flamsteed
Andrew Fraknoi
Bryan Gaensler
Gautama Siddha
Andrea M. Ghez
John Goodricke
John Grunsfeld
Guillermo Haro
Takeo Hatanaka
Yuji Hyakutake
"Icko Iben, Jr."
Kiyotaka Kanai
Hiroshi Kaneda
K_y_ Kawanishi
Hisashi Kimura
